file,line,pair,stems
HT31.txt,11,AB22 AB03 + AB81 AB51,"AB22 AB03, AB03 AB81, AB81 AB51"
HT31.txt,12,AB22 AB09 + AB28 AB22,"AB54 AB28, AB28 AB22, AB22 AB09"
HT31.txt,12,AB22 AB09 + AB54 AB28,"AB54 AB28, AB28 AB22, AB22 AB09"
HT31.txt,12,AB28 AB22 + AB54 AB28,"AB54 AB28, AB28 AB22, AB22 AB09"
HT31.txt,13,AB22 AB59 + AB45 AB22,"AB51 AB45, AB45 AB22, AB22 AB59"
HT31.txt,13,AB22 AB59 + AB51 AB45,"AB51 AB45, AB45 AB22, AB22 AB59"
HT31.txt,13,AB45 AB22 + AB51 AB45,"AB51 AB45, AB45 AB22, AB22 AB59"
HT31.txt,14,AB03 AB40 + AB28 AB81,"AB03 AB40, AB40 AB28, AB28 AB81"
HT31.txt,14,AB03 AB40 + AB40 AB28,"AB03 AB40, AB40 AB28, AB28 AB81"
HT31.txt,14,AB28 AB81 + AB40 AB28,"AB03 AB40, AB40 AB28, AB28 AB81"
HT31.txt,15,AB22 AB54 + AB28 AB67,"AB28 AB67, AB67 AB22, AB22 AB54"
HT31.txt,15,AB22 AB54 + AB67 AB22,"AB28 AB67, AB67 AB22, AB22 AB54"
HT31.txt,15,AB28 AB67 + AB67 AB22,"AB28 AB67, AB67 AB22, AB22 AB54"
HT31.txt,16,AB09 AB81 + AB45 AB09,"AB45 AB09, AB09 AB81, AB81 AB40"
HT31.txt,16,AB09 AB81 + AB81 AB40,"AB45 AB09, AB09 AB81, AB81 AB40"
HT31.txt,16,AB45 AB09 + AB81 AB40,"AB45 AB09, AB09 AB81, AB81 AB40"
HT31.txt,17,AB22 AB41 + AB41 AB51,"AB54 AB22, AB22 AB41, AB41 AB51"
HT31.txt,17,AB22 AB41 + AB54 AB22,"AB54 AB22, AB22 AB41, AB41 AB51"
HT31.txt,17,AB41 AB51 + AB54 AB22,"AB54 AB22, AB22 AB41, AB41 AB51"
HT31.txt,18,AB22 AB59 + AB28 AB03,"AB22 AB59, AB59 AB28, AB28 AB03"
HT31.txt,18,AB22 AB59 + AB59 AB28,"AB22 AB59, AB59 AB28, AB28 AB03"
HT31.txt,18,AB28 AB03 + AB59 AB28,"AB22 AB59, AB59 AB28, AB28 AB03"
ZA10.txt,3,AB09 AB45 + AB45 AB59,"AB77 AB09, AB09 AB45, AB45 AB59, AB59 AB04"
ZA10.txt,3,AB09 AB45 + AB59 AB04,"AB77 AB09, AB09 AB45, AB45 AB59, AB59 AB04"
ZA10.txt,3,AB09 AB45 + AB77 AB09,"AB77 AB09, AB09 AB45, AB45 AB59, AB59 AB04"
ZA10.txt,3,AB45 AB59 + AB59 AB04,"AB77 AB09, AB09 AB45, AB45 AB59, AB59 AB04"
ZA10.txt,3,AB45 AB59 + AB77 AB09,"AB77 AB09, AB09 AB45, AB45 AB59, AB59 AB04"
ZA10.txt,3,AB59 AB04 + AB77 AB09,"AB77 AB09, AB09 AB45, AB45 AB59, AB59 AB04"
ZA10.txt,4,AB17 AB22 + AB22 AB40,"AB27 AB17, AB17 AB22, AB22 AB40"
ZA10.txt,4,AB17 AB22 + AB27 AB17,"AB27 AB17, AB17 AB22, AB22 AB40"
ZA10.txt,4,AB22 AB40 + AB27 AB17,"AB27 AB17, AB17 AB22, AB22 AB40"
ZA10.txt,5,AB04 AB69 + AB22 AB67,"AB04 AB69, AB69 AB22, AB22 AB67"
ZA10.txt,5,AB04 AB69 + AB69 AB22,"AB04 AB69, AB69 AB22, AB22 AB67"
ZA10.txt,5,AB22 AB67 + AB69 AB22,"AB04 AB69, AB69 AB22, AB22 AB67"
ZA10.txt,6,AB30 AB22 + AB79 AB30,"AB81 AB79, AB79 AB30, AB30 AB22"
ZA10.txt,6,AB30 AB22 + AB81 AB79,"AB81 AB79, AB79 AB30, AB30 AB22"
ZA10.txt,6,AB79 AB30 + AB81 AB79,"AB81 AB79, AB79 AB30, AB30 AB22"
ZA10.txt,7,AB24 AB41 + AB28 AB51,"AB28 AB51, AB51 AB24, AB24 AB41"
ZA10.txt,7,AB24 AB41 + AB51 AB24,"AB28 AB51, AB51 AB24, AB24 AB41"
ZA10.txt,7,AB28 AB51 + AB51 AB24,"AB28 AB51, AB51 AB24, AB24 AB41"
ZA10.txt,8,AB02 AB22 + AB22 AB67,"AB81 AB02, AB02 AB22, AB22 AB67"
ZA10.txt,8,AB02 AB22 + AB81 AB02,"AB81 AB02, AB02 AB22, AB22 AB67"
ZA10.txt,8,AB22 AB67 + AB81 AB02,"AB81 AB02, AB02 AB22, AB22 AB67"
ZA10.txt,9,AB09 AB45 + AB45 AB59,"AB09 AB45, AB45 AB59, AB59 AB04"
ZA10.txt,9,AB09 AB45 + AB59 AB04,"AB09 AB45, AB45 AB59, AB59 AB04"
ZA10.txt,9,AB45 AB59 + AB59 AB04,"AB09 AB45, AB45 AB59, AB59 AB04"
HT95.txt,3,AB08 AB23 + AB23 AB22,"AB54 AB08, AB08 AB23, AB23 AB22"
HT95.txt,3,AB08 AB23 + AB54 AB08,"AB54 AB08, AB08 AB23, AB23 AB22"
HT95.txt,3,AB23 AB22 + AB54 AB08,"AB54 AB08, AB08 AB23, AB23 AB22"
HT95.txt,4,AB22 AB03 + AB54 AB67,"AB54 AB67, AB67 AB22, AB22 AB03"
HT95.txt,4,AB22 AB03 + AB67 AB22,"AB54 AB67, AB67 AB22, AB22 AB03"
HT95.txt,4,AB54 AB67 + AB67 AB22,"AB54 AB67, AB67 AB22, AB22 AB03"
HT95.txt,5,AB04 AB40 + AB40 AB81,"AB04 AB40, AB40 AB81, AB81 AB22"
HT95.txt,5,AB04 AB40 + AB81 AB22,"AB04 AB40, AB40 AB81, AB81 AB22"
HT95.txt,5,AB40 AB81 + AB81 AB22,"AB04 AB40, AB40 AB81, AB81 AB22"
HT95.txt,6,AB24 AB41 + AB28 AB51,"AB28 AB51, AB51 AB24, AB24 AB41"
HT95.txt,6,AB24 AB41 + AB51 AB24,"AB28 AB51, AB51 AB24, AB24 AB41"
HT95.txt,6,AB28 AB51 + AB51 AB24,"AB28 AB51, AB51 AB24, AB24 AB41"
HT95.txt,7,AB02 AB22 + AB22 AB67,"AB81 AB02, AB02 AB22, AB22 AB67"
HT95.txt,7,AB02 AB22 + AB81 AB02,"AB81 AB02, AB02 AB22, AB22 AB67"
HT95.txt,7,AB22 AB67 + AB81 AB02,"AB81 AB02, AB02 AB22, AB22 AB67"
HT95.txt,8,AB09 AB45 + AB45 AB59,"AB09 AB45, AB45 AB59, AB59 AB04"
HT95.txt,8,AB09 AB45 + AB59 AB04,"AB09 AB45, AB45 AB59, AB59 AB04"
HT95.txt,8,AB45 AB59 + AB59 AB04,"AB09 AB45, AB45 AB59, AB59 AB04"
