bundle,cluster,pc1,pc2
AB24 AB41 + AB51 AB24,0,-0.9846864900202984,0.3407013982798083
AB28 AB03 + AB59 AB28,0,-0.0507112488974633,-0.9946444705917068
AB28 AB03 + AB59 AB67,0,-0.09283410956229798,-0.9854482246893529
AB28 AB22 + AB54 AB28,0,-0.38473118800979955,0.10677344634956246
AB28 AB51 + AB51 AB24,0,-0.9846864900202934,0.3407013982798074
AB28 AB67 + AB67 AB22,0,-0.5039447331076431,1.6150632270458058
AB28 AB81 + AB40 AB28,0,-0.5778930890527485,0.12958797298130528
AB30 AB22 + AB79 AB30,0,-0.5778930890527331,0.12958797298121788
AB30 AB22 + AB79 AB30 + AB81 AB79,0,-0.8587686076333918,0.19349325504685694
AB30 AB22 + AB81 AB79,0,-0.5778930890527332,0.12958797298121888
AB40 AB81 + AB54 AB22,0,-0.44683683319971806,-1.3663956580409349
AB40 AB81 + AB81 AB22,0,-0.7099647674272419,-2.62538055070382
AB41 AB51 + AB54 AB22,0,-0.5152923308013398,-1.3642007117933956
AB45 AB09 + AB81 AB03,0,-0.30952440448403223,0.04941575779409588
AB45 AB09 + AB81 AB40,0,-0.3095244044840342,0.04941575779409329
AB45 AB22 + AB51 AB45,0,0.524629817107097,-0.5433717033808786
AB54 AB67 + AB67 AB22,0,-1.451943428016154,4.883623371628662
AB79 AB30 + AB81 AB79,0,-0.5778930890527334,0.12958797298121832
AB09 AB45 + AB40 AB09,1,1.2371508515022136,0.05953608415626026
AB09 AB45 + AB40 AB09 + AB45 AB22,1,1.5977442049817014,-0.14255714837454447
AB09 AB45 + AB45 AB22,1,1.0826543760915075,-0.0959820346397242
AB09 AB45 + AB45 AB59 + AB77 AB09,1,2.2843880682538766,0.34548643608456775
AB09 AB45 + AB59 AB04 + AB77 AB09,1,2.284388068253875,0.3454864360845671
AB09 AB45 + AB77 AB09,1,1.548733910979409,0.23430349868535402
AB40 AB09 + AB45 AB22,1,0.8595411304782666,-0.24689093741568305
AB45 AB59 + AB59 AB04 + AB77 AB09,1,2.281839151024908,0.3523355844426425
AB45 AB59 + AB77 AB09,1,1.5461849937504424,0.24115264704342923
AB59 AB04 + AB77 AB09,1,1.54618499375044,0.24115264704342876
AB09 AB45 + AB45 AB59,2,5.879286875220199,0.8638443146113495
AB09 AB45 + AB45 AB59 + AB59 AB04,2,8.821903504318056,1.3085760642082027
AB09 AB45 + AB59 AB04,2,5.879286875220187,0.8638443146113486
AB45 AB59 + AB59 AB04,2,5.869091206304326,0.8912409080436395
